date,Domestic Aviation,Ground Transport,Industry,Power,Residential,巴西
2019-01-01,0.02,0.2,0.25,0.11,0.1,0.68
2019-01-02,0.03,0.34,0.28,0.12,0.1,0.88
2019-01-03,0.03,0.42,0.28,0.12,0.1,0.95
2019-01-04,0.03,0.44,0.25,0.11,0.1,0.94
2019-01-05,0.03,0.37,0.27,0.12,0.1,0.89
2019-01-06,0.03,0.26,0.27,0.12,0.1,0.79
2019-01-07,0.03,0.46,0.26,0.11,0.1,0.97
2019-01-08,0.03,0.47,0.27,0.12,0.1,0.99
2019-01-09,0.03,0.47,0.27,0.12,0.1,0.99
2019-01-10,0.03,0.47,0.27,0.12,0.1,1.0
2019-01-11,0.03,0.49,0.27,0.12,0.1,1.01
2019-01-12,0.03,0.43,0.29,0.13,0.1,0.97
2019-01-13,0.03,0.3,0.24,0.11,0.1,0.78
2019-01-14,0.03,0.47,0.33,0.14,0.1,1.08
2019-01-15,0.03,0.49,0.33,0.14,0.1,1.09
2019-01-16,0.03,0.49,0.37,0.16,0.1,1.15
2019-01-17,0.03,0.48,0.38,0.17,0.1,1.16
2019-01-18,0.03,0.5,0.37,0.16,0.1,1.17
2019-01-19,0.03,0.46,0.22,0.1,0.1,0.9
2019-01-20,0.03,0.38,0.21,0.09,0.1,0.81
2019-01-21,0.03,0.49,0.3,0.13,0.1,1.05
2019-01-22,0.03,0.5,0.32,0.14,0.1,1.09
2019-01-23,0.03,0.5,0.39,0.17,0.1,1.18
2019-01-24,0.03,0.5,0.38,0.17,0.1,1.18
2019-01-25,0.03,0.5,0.33,0.14,0.1,1.1
2019-01-26,0.03,0.45,0.36,0.16,0.1,1.1
2019-01-27,0.03,0.37,0.34,0.15,0.1,0.99
2019-01-28,0.03,0.49,0.36,0.16,0.1,1.14
2019-01-29,0.03,0.5,0.41,0.18,0.1,1.22
2019-01-30,0.03,0.5,0.42,0.19,0.1,1.24
2019-01-31,0.03,0.5,0.45,0.2,0.1,1.27
2019-02-01,0.03,0.5,0.32,0.2,0.11,1.16
2019-02-02,0.03,0.46,0.31,0.19,0.11,1.1
2019-02-03,0.03,0.38,0.32,0.2,0.11,1.03
2019-02-04,0.03,0.49,0.34,0.21,0.11,1.19
2019-02-05,0.03,0.5,0.36,0.22,0.11,1.22
2019-02-06,0.03,0.5,0.35,0.22,0.11,1.21
2019-02-07,0.03,0.5,0.33,0.2,0.11,1.17
2019-02-08,0.03,0.5,0.31,0.19,0.11,1.14
2019-02-09,0.03,0.46,0.3,0.18,0.11,1.08
2019-02-10,0.02,0.38,0.3,0.18,0.11,1.0
2019-02-11,0.03,0.5,0.32,0.2,0.11,1.16
2019-02-12,0.03,0.5,0.33,0.2,0.11,1.17
2019-02-13,0.03,0.49,0.38,0.23,0.11,1.24
2019-02-14,0.03,0.5,0.41,0.25,0.11,1.29
2019-02-15,0.03,0.5,0.42,0.26,0.11,1.32
2019-02-16,0.03,0.46,0.41,0.25,0.11,1.26
2019-02-17,0.02,0.38,0.41,0.25,0.11,1.17
2019-02-18,0.03,0.49,0.39,0.24,0.11,1.27
2019-02-19,0.03,0.5,0.41,0.25,0.11,1.29
2019-02-20,0.03,0.51,0.4,0.25,0.11,1.3
2019-02-21,0.03,0.5,0.38,0.23,0.11,1.26
2019-02-22,0.03,0.5,0.37,0.23,0.11,1.24
2019-02-23,0.03,0.47,0.29,0.18,0.11,1.07
2019-02-24,0.02,0.4,0.3,0.19,0.11,1.03
2019-02-25,0.03,0.49,0.36,0.22,0.11,1.22
2019-02-26,0.03,0.48,0.38,0.23,0.11,1.23
2019-02-27,0.03,0.48,0.35,0.22,0.11,1.18
2019-02-28,0.03,0.49,0.33,0.2,0.11,1.16
2019-03-01,0.03,0.5,0.39,0.21,0.1,1.23
2019-03-02,0.03,0.46,0.36,0.2,0.1,1.15
2019-03-03,0.02,0.37,0.34,0.19,0.1,1.02
2019-03-04,0.02,0.42,0.34,0.19,0.1,1.07
2019-03-05,0.02,0.37,0.34,0.19,0.1,1.02
2019-03-06,0.03,0.44,0.35,0.19,0.1,1.11
2019-03-07,0.03,0.49,0.31,0.17,0.1,1.11
2019-03-08,0.03,0.49,0.29,0.16,0.1,1.07
2019-03-09,0.03,0.47,0.3,0.17,0.1,1.06
2019-03-10,0.02,0.38,0.29,0.16,0.1,0.97
2019-03-11,0.03,0.5,0.31,0.17,0.1,1.1
2019-03-12,0.03,0.5,0.32,0.18,0.1,1.13
2019-03-13,0.03,0.5,0.32,0.18,0.1,1.13
2019-03-14,0.03,0.5,0.33,0.18,0.1,1.14
2019-03-15,0.03,0.5,0.31,0.17,0.1,1.12
2019-03-16,0.03,0.47,0.28,0.15,0.1,1.03
2019-03-17,0.02,0.4,0.29,0.16,0.1,0.98
2019-03-18,0.03,0.49,0.34,0.19,0.1,1.14
2019-03-19,0.03,0.5,0.33,0.18,0.1,1.13
2019-03-20,0.03,0.5,0.33,0.19,0.1,1.15
2019-03-21,0.03,0.5,0.33,0.19,0.1,1.15
2019-03-22,0.03,0.5,0.34,0.19,0.1,1.17
2019-03-23,0.03,0.47,0.35,0.2,0.1,1.14
2019-03-24,0.02,0.37,0.34,0.19,0.1,1.03
2019-03-25,0.03,0.49,0.35,0.19,0.1,1.16
2019-03-26,0.02,0.5,0.36,0.2,0.1,1.18
2019-03-27,0.03,0.5,0.31,0.17,0.1,1.11
2019-03-28,0.03,0.5,0.31,0.17,0.1,1.11
2019-03-29,0.03,0.5,0.32,0.18,0.1,1.12
2019-03-30,0.03,0.47,0.33,0.18,0.1,1.1
2019-03-31,0.02,0.36,0.31,0.17,0.1,0.96
2019-04-01,0.03,0.49,0.33,0.16,0.1,1.11
2019-04-02,0.03,0.5,0.39,0.19,0.1,1.2
2019-04-03,0.03,0.5,0.36,0.17,0.1,1.17
2019-04-04,0.03,0.5,0.39,0.19,0.1,1.21
2019-04-05,0.03,0.5,0.42,0.2,0.1,1.26
2019-04-06,0.03,0.48,0.36,0.17,0.1,1.14
2019-04-07,0.02,0.39,0.33,0.16,0.1,1.0
2019-04-08,0.03,0.5,0.32,0.15,0.1,1.1
2019-04-09,0.03,0.5,0.34,0.16,0.1,1.13
2019-04-10,0.03,0.5,0.4,0.19,0.1,1.22
2019-04-11,0.02,0.5,0.4,0.19,0.1,1.22
2019-04-12,0.03,0.48,0.4,0.19,0.1,1.2
2019-04-13,0.03,0.47,0.33,0.16,0.1,1.09
2019-04-14,0.02,0.39,0.31,0.15,0.1,0.98
2019-04-15,0.03,0.49,0.32,0.15,0.1,1.1
2019-04-16,0.03,0.5,0.33,0.16,0.1,1.12
2019-04-17,0.03,0.5,0.35,0.17,0.1,1.15
2019-04-18,0.03,0.5,0.37,0.18,0.1,1.19
2019-04-19,0.02,0.44,0.36,0.17,0.1,1.1
2019-04-20,0.02,0.4,0.36,0.17,0.1,1.05
2019-04-21,0.02,0.33,0.32,0.16,0.1,0.93
2019-04-22,0.03,0.48,0.32,0.15,0.1,1.08
2019-04-23,0.03,0.47,0.32,0.15,0.1,1.07
2019-04-24,0.03,0.5,0.32,0.16,0.1,1.11
2019-04-25,0.03,0.5,0.33,0.16,0.1,1.11
2019-04-26,0.03,0.5,0.33,0.16,0.1,1.12
2019-04-27,0.02,0.47,0.34,0.16,0.1,1.1
2019-04-28,0.02,0.39,0.34,0.16,0.1,1.01
2019-04-29,0.02,0.49,0.4,0.19,0.1,1.2
2019-04-30,0.03,0.5,0.41,0.2,0.1,1.23
2019-05-01,0.02,0.44,0.38,0.16,0.1,1.1
2019-05-02,0.02,0.49,0.38,0.16,0.1,1.15
2019-05-03,0.03,0.5,0.36,0.16,0.1,1.15
2019-05-04,0.02,0.47,0.31,0.13,0.1,1.03
2019-05-05,0.02,0.38,0.32,0.14,0.1,0.95
2019-05-06,0.03,0.49,0.36,0.16,0.1,1.14
2019-05-07,0.03,0.5,0.38,0.17,0.1,1.17
2019-05-08,0.02,0.5,0.41,0.18,0.1,1.21
2019-05-09,0.03,0.5,0.39,0.17,0.1,1.18
2019-05-10,0.03,0.5,0.37,0.16,0.1,1.16
2019-05-11,0.02,0.48,0.32,0.14,0.1,1.05
2019-05-12,0.02,0.4,0.31,0.14,0.1,0.96
2019-05-13,0.03,0.49,0.34,0.15,0.1,1.1
2019-05-14,0.02,0.5,0.38,0.17,0.1,1.17
2019-05-15,0.02,0.5,0.41,0.18,0.1,1.2
2019-05-16,0.03,0.5,0.43,0.19,0.1,1.24
2019-05-17,0.03,0.5,0.39,0.17,0.1,1.18
2019-05-18,0.02,0.47,0.38,0.17,0.1,1.14
2019-05-19,0.02,0.38,0.39,0.17,0.1,1.05
2019-05-20,0.02,0.49,0.39,0.17,0.1,1.17
2019-05-21,0.03,0.5,0.39,0.17,0.1,1.17
2019-05-22,0.02,0.5,0.37,0.16,0.1,1.16
2019-05-23,0.02,0.5,0.38,0.16,0.1,1.16
2019-05-24,0.03,0.5,0.38,0.17,0.1,1.17
2019-05-25,0.02,0.47,0.35,0.15,0.1,1.1
2019-05-26,0.02,0.38,0.35,0.15,0.1,1.0
2019-05-27,0.03,0.49,0.37,0.16,0.1,1.14
2019-05-28,0.02,0.5,0.37,0.16,0.1,1.15
2019-05-29,0.03,0.5,0.36,0.16,0.1,1.14
2019-05-30,0.02,0.5,0.36,0.16,0.1,1.15
2019-05-31,0.03,0.5,0.38,0.17,0.1,1.17
2019-06-01,0.02,0.47,0.33,0.14,0.1,1.06
2019-06-02,0.02,0.39,0.32,0.14,0.1,0.96
2019-06-03,0.03,0.49,0.32,0.14,0.1,1.08
2019-06-04,0.03,0.5,0.31,0.14,0.1,1.07
2019-06-05,0.03,0.5,0.31,0.14,0.1,1.07
2019-06-06,0.03,0.5,0.32,0.14,0.1,1.09
2019-06-07,0.03,0.45,0.33,0.15,0.1,1.06
2019-06-08,0.02,0.47,0.33,0.15,0.1,1.08
2019-06-09,0.02,0.39,0.33,0.15,0.1,0.99
2019-06-10,0.03,0.49,0.35,0.15,0.1,1.12
2019-06-11,0.03,0.5,0.33,0.15,0.1,1.11
2019-06-12,0.03,0.5,0.34,0.15,0.1,1.11
2019-06-13,0.02,0.5,0.34,0.15,0.1,1.11
2019-06-14,0.03,0.45,0.32,0.14,0.1,1.04
2019-06-15,0.02,0.47,0.34,0.15,0.1,1.09
2019-06-16,0.02,0.39,0.37,0.16,0.1,1.04
2019-06-17,0.03,0.49,0.37,0.16,0.1,1.16
2019-06-18,0.03,0.5,0.38,0.17,0.1,1.17
