date,Domestic Aviation,Ground Transport,Industry,Power,Residential,中国
2019-01-01,0.16,2.52,9.88,14.25,4.35,31.17
2019-01-02,0.17,2.54,10.74,15.49,4.18,33.12
2019-01-03,0.16,2.53,10.67,15.38,3.87,32.61
2019-01-04,0.16,2.57,10.47,15.1,3.83,32.14
2019-01-05,0.16,2.51,10.56,15.23,3.91,32.37
2019-01-06,0.16,2.45,10.2,14.71,3.89,31.43
2019-01-07,0.16,2.53,10.5,15.14,3.82,32.16
2019-01-08,0.16,2.53,10.27,14.81,3.95,31.73
2019-01-09,0.16,2.53,10.52,15.17,3.94,32.33
2019-01-10,0.17,2.53,10.5,15.15,3.79,32.14
2019-01-11,0.13,2.57,10.56,15.23,3.7,32.19
2019-01-12,0.16,2.49,10.28,14.83,3.68,31.44
2019-01-13,0.16,2.43,9.96,14.36,3.67,30.59
2019-01-14,0.17,2.52,9.96,14.36,3.61,30.61
2019-01-15,0.17,2.52,9.86,14.21,4.08,30.84
2019-01-16,0.13,2.51,10.05,14.49,4.12,31.32
2019-01-17,0.17,2.52,9.99,14.41,3.89,30.98
2019-01-18,0.17,2.58,9.98,14.39,3.59,30.7
2019-01-19,0.17,2.52,9.62,13.87,3.54,29.72
2019-01-20,0.17,2.26,9.18,13.24,3.74,28.59
2019-01-21,0.17,2.52,9.15,13.19,3.78,28.81
2019-01-22,0.17,2.54,9.19,13.25,3.58,28.74
2019-01-23,0.18,2.53,9.1,13.12,3.48,28.41
2019-01-24,0.18,2.54,8.94,12.89,3.31,27.85
2019-01-25,0.17,2.58,8.77,12.64,3.48,27.65
2019-01-26,0.18,2.5,8.62,12.43,3.63,27.37
2019-01-27,0.18,2.43,8.07,11.63,3.43,25.74
2019-01-28,0.14,2.51,8.25,11.89,3.44,26.24
2019-01-29,0.18,2.52,7.77,11.2,3.27,24.94
2019-01-30,0.18,2.52,7.7,11.11,3.5,25.01
2019-01-31,0.18,2.52,7.54,10.87,3.83,24.94
2019-02-01,0.18,2.59,7.01,10.11,3.73,23.63
2019-02-02,0.18,2.51,6.88,9.92,3.27,22.76
2019-02-03,0.18,2.46,6.65,9.59,3.49,22.38
2019-02-04,0.15,2.56,6.41,9.24,3.44,21.82
2019-02-05,0.16,2.57,6.16,8.88,3.39,21.16
2019-02-06,0.17,2.56,6.16,8.89,3.42,21.21
2019-02-07,0.18,2.56,6.36,9.17,3.93,22.19
2019-02-08,0.18,2.6,6.73,9.71,4.13,23.34
2019-02-09,0.18,2.52,7.28,10.5,4.22,24.69
2019-02-10,0.18,2.48,7.66,11.05,4.28,25.65
2019-02-11,0.18,2.58,7.86,11.33,4.03,25.98
2019-02-12,0.19,2.58,8.23,11.87,3.85,26.72
2019-02-13,0.18,2.57,8.26,11.92,3.84,26.78
2019-02-14,0.17,2.57,8.38,12.09,3.85,27.06
2019-02-15,0.18,2.61,8.52,12.28,3.86,27.44
2019-02-16,0.18,2.54,8.38,12.09,3.9,27.09
2019-02-17,0.18,2.49,8.57,12.35,3.85,27.44
2019-02-18,0.18,2.56,9.22,13.29,3.78,29.03
2019-02-19,0.17,2.56,9.1,13.12,3.64,28.6
2019-02-20,0.18,2.56,9.14,13.17,3.53,28.58
2019-02-21,0.18,2.56,9.42,13.59,3.48,29.23
2019-02-22,0.18,2.59,9.32,13.44,3.43,28.97
2019-02-23,0.18,2.52,8.94,12.89,3.43,27.96
2019-02-24,0.18,2.46,8.65,12.47,3.3,27.06
2019-02-25,0.18,2.55,9.0,12.97,3.2,27.9
2019-02-26,0.18,2.55,9.3,13.41,3.23,28.67
2019-02-27,0.18,2.55,9.23,13.31,3.22,28.5
2019-02-28,0.18,2.55,8.98,12.95,3.13,27.78
2019-03-01,0.17,2.59,11.86,13.16,2.9,30.68
2019-03-02,0.17,2.51,11.71,13.0,2.88,30.26
2019-03-03,0.17,2.46,11.43,12.69,2.81,29.56
2019-03-04,0.17,2.55,11.1,12.33,2.59,28.74
2019-03-05,0.17,2.55,11.22,12.46,2.64,29.04
