date,Domestic Aviation,Ground Transport,Industry,Power,Residential,法国
2019-01-01,0.0,0.21,0.07,0.05,0.33,0.66
2019-01-02,0.01,0.25,0.13,0.1,0.36,0.84
2019-01-03,0.01,0.3,0.15,0.12,0.41,0.99
2019-01-04,0.01,0.31,0.16,0.13,0.42,1.04
2019-01-05,0.0,0.25,0.17,0.14,0.4,0.97
2019-01-06,0.01,0.17,0.16,0.13,0.38,0.86
2019-01-07,0.01,0.32,0.17,0.14,0.36,0.99
2019-01-08,0.01,0.33,0.15,0.12,0.33,0.95
2019-01-09,0.01,0.33,0.16,0.13,0.38,1.0
2019-01-10,0.01,0.33,0.19,0.15,0.42,1.1
2019-01-11,0.01,0.34,0.19,0.16,0.4,1.09
2019-01-12,0.0,0.29,0.16,0.13,0.34,0.92
2019-01-13,0.0,0.23,0.08,0.06,0.28,0.66
2019-01-14,0.01,0.33,0.15,0.12,0.3,0.91
2019-01-15,0.01,0.34,0.18,0.15,0.35,1.01
2019-01-16,0.01,0.34,0.18,0.15,0.36,1.04
2019-01-17,0.01,0.34,0.18,0.14,0.35,1.02
2019-01-18,0.01,0.34,0.2,0.16,0.42,1.14
2019-01-19,0.0,0.3,0.19,0.15,0.42,1.07
2019-01-20,0.0,0.23,0.18,0.15,0.4,0.97
2019-01-21,0.01,0.33,0.2,0.16,0.45,1.15
2019-01-22,0.01,0.34,0.2,0.16,0.44,1.15
2019-01-23,0.01,0.34,0.2,0.17,0.43,1.14
2019-01-24,0.01,0.34,0.21,0.17,0.44,1.17
2019-01-25,0.01,0.34,0.2,0.16,0.4,1.11
2019-01-26,0.0,0.3,0.16,0.13,0.33,0.93
2019-01-27,0.0,0.24,0.08,0.07,0.34,0.74
2019-01-28,0.0,0.33,0.16,0.13,0.38,1.01
2019-01-29,0.01,0.34,0.19,0.15,0.41,1.1
2019-01-30,0.01,0.33,0.19,0.15,0.41,1.09
2019-01-31,0.01,0.34,0.2,0.16,0.41,1.12
2019-02-01,0.01,0.35,0.22,0.14,0.36,1.08
2019-02-02,0.0,0.3,0.2,0.13,0.39,1.02
2019-02-03,0.0,0.23,0.16,0.1,0.41,0.92
2019-02-04,0.01,0.33,0.24,0.15,0.43,1.16
2019-02-05,0.01,0.34,0.25,0.16,0.38,1.14
2019-02-06,0.01,0.34,0.24,0.15,0.34,1.07
2019-02-07,0.01,0.34,0.19,0.12,0.33,0.99
2019-02-08,0.01,0.34,0.15,0.1,0.32,0.91
2019-02-09,0.0,0.31,0.09,0.06,0.29,0.75
2019-02-10,0.0,0.25,0.09,0.06,0.31,0.71
2019-02-11,0.01,0.33,0.19,0.12,0.36,1.01
2019-02-12,0.01,0.34,0.24,0.16,0.39,1.13
2019-02-13,0.01,0.34,0.23,0.14,0.39,1.1
2019-02-14,0.01,0.34,0.23,0.15,0.35,1.08
2019-02-15,0.01,0.34,0.22,0.14,0.33,1.04
2019-02-16,0.0,0.3,0.14,0.09,0.32,0.86
2019-02-17,0.0,0.25,0.1,0.06,0.29,0.7
2019-02-18,0.01,0.33,0.19,0.12,0.31,0.95
2019-02-19,0.01,0.33,0.22,0.14,0.33,1.02
2019-02-20,0.01,0.34,0.22,0.14,0.33,1.04
2019-02-21,0.01,0.34,0.21,0.13,0.31,1.0
