date,Domestic Aviation,Ground Transport,Industry,Power,Residential,印度
2019-01-01,0.02,0.82,2.07,3.35,1.67,7.93
2019-01-02,0.02,0.83,2.09,3.39,1.52,7.86
2019-01-03,0.02,0.84,2.11,3.43,1.59,7.99
2019-01-04,0.02,0.84,2.14,3.46,1.6,8.07
2019-01-05,0.02,0.83,2.12,3.44,1.37,7.78
2019-01-06,0.02,0.78,2.01,3.27,1.33,7.41
2019-01-07,0.02,0.85,2.07,3.36,1.46,7.77
2019-01-08,0.02,0.85,2.15,3.48,1.48,7.98
2019-01-09,0.02,0.85,2.14,3.47,1.66,8.15
2019-01-10,0.02,0.85,2.15,3.48,1.66,8.17
2019-01-11,0.02,0.82,2.18,3.53,1.46,8.01
2019-01-12,0.02,0.8,2.16,3.51,1.34,7.84
2019-01-13,0.02,0.83,2.05,3.33,1.18,7.41
2019-01-14,0.02,0.85,2.0,3.24,1.49,7.6
2019-01-15,0.02,0.85,2.05,3.32,1.93,8.17
2019-01-16,0.02,0.86,2.1,3.4,1.7,8.08
2019-01-17,0.02,0.86,2.11,3.42,1.5,7.9
2019-01-18,0.02,0.86,2.15,3.48,1.36,7.86
2019-01-19,0.02,0.86,2.14,3.47,1.09,7.57
2019-01-20,0.02,0.81,2.06,3.35,0.79,7.04
2019-01-21,0.02,0.86,2.03,3.3,0.7,6.92
2019-01-22,0.02,0.86,2.03,3.29,0.92,7.12
2019-01-23,0.02,0.87,2.12,3.43,1.04,7.48
2019-01-24,0.02,0.86,2.08,3.37,1.09,7.42
2019-01-25,0.02,0.87,2.04,3.31,1.4,7.64
2019-01-26,0.02,0.76,1.9,3.09,1.57,7.35
2019-01-27,0.02,0.81,1.9,3.08,1.67,7.48
2019-01-28,0.02,0.86,2.0,3.25,1.81,7.93
2019-01-29,0.02,0.86,2.05,3.32,1.92,8.17
2019-01-30,0.02,0.86,2.1,3.4,1.6,7.97
2019-01-31,0.02,0.86,2.08,3.38,1.13,7.47
2019-02-01,0.02,0.86,2.16,3.31,1.04,7.39
2019-02-02,0.02,0.85,2.15,3.3,1.11,7.44
2019-02-03,0.02,0.81,2.09,3.2,1.16,7.27
2019-02-04,0.02,0.86,2.14,3.28,1.06,7.36
2019-02-05,0.02,0.86,2.24,3.44,0.75,7.31
2019-02-06,0.02,0.86,2.23,3.42,0.57,7.1
2019-02-07,0.02,0.87,2.14,3.29,0.87,7.19
2019-02-08,0.02,0.87,2.18,3.34,1.15,7.56
2019-02-09,0.02,0.86,2.18,3.34,1.46,7.86
2019-02-10,0.02,0.81,2.14,3.27,1.3,7.54
2019-02-11,0.02,0.86,2.15,3.3,0.95,7.28
2019-02-12,0.02,0.86,2.18,3.34,0.68,7.08
2019-02-13,0.02,0.86,2.23,3.42,0.48,7.01
2019-02-14,0.02,0.86,2.23,3.42,0.57,7.1
2019-02-15,0.02,0.86,2.19,3.36,0.62,7.06
2019-02-16,0.02,0.85,2.17,3.33,0.76,7.13
2019-02-17,0.02,0.81,2.14,3.29,0.77,7.03
2019-02-18,0.02,0.85,2.18,3.33,0.61,6.99
2019-02-19,0.02,0.86,2.27,3.48,0.52,7.14
2019-02-20,0.02,0.85,2.25,3.45,0.52,7.08
2019-02-21,0.02,0.86,2.25,3.44,0.47,7.04
2019-02-22,0.02,0.86,2.24,3.43,0.53,7.09
2019-02-23,0.02,0.85,2.24,3.43,0.64,7.17
2019-02-24,0.02,0.79,2.18,3.34,0.65,6.98
2019-02-25,0.02,0.86,2.23,3.42,0.6,7.13
2019-02-26,0.02,0.85,2.23,3.43,0.7,7.23
2019-02-27,0.02,0.86,2.22,3.4,1.04,7.53
2019-02-28,0.02,0.82,2.21,3.38,1.05,7.47
2019-03-01,0.02,0.86,2.17,3.48,0.75,7.28
2019-03-02,0.02,0.85,2.11,3.4,0.74,7.12
2019-03-03,0.02,0.8,2.05,3.3,0.55,6.73
2019-03-04,0.02,0.82,2.12,3.41,0.49,6.86
2019-03-05,0.02,0.86,2.18,3.5,0.5,7.05
2019-03-06,0.02,0.86,2.18,3.51,0.47,7.04
2019-03-07,0.02,0.86,2.24,3.6,0.45,7.17
2019-03-08,0.02,0.86,2.22,3.57,0.48,7.15
2019-03-09,0.02,0.84,2.21,3.55,0.44,7.05
2019-03-10,0.02,0.8,2.18,3.49,0.41,6.89
2019-03-11,0.02,0.86,2.24,3.6,0.45,7.17
2019-03-12,0.02,0.86,2.27,3.64,0.42,7.2
2019-03-13,0.02,0.86,2.27,3.64,0.43,7.22
2019-03-14,0.02,0.86,2.24,3.6,0.46,7.17
2019-03-15,0.02,0.86,2.2,3.54,0.41,7.03
2019-03-16,0.02,0.85,2.2,3.53,0.38,6.99
2019-03-17,0.02,0.8,2.15,3.46,0.38,6.81
2019-03-18,0.02,0.86,2.25,3.61,0.37,7.1
2019-03-19,0.02,0.86,2.28,3.67,0.38,7.21
2019-03-20,0.02,0.84,2.28,3.67,0.39,7.2
2019-03-21,0.02,0.24,2.01,3.23,0.38,5.88
2019-03-22,0.02,0.8,2.11,3.4,0.38,6.71
2019-03-23,0.02,0.83,2.21,3.55,0.37,6.98
2019-03-24,0.02,0.78,2.2,3.54,0.37,6.9
2019-03-25,0.02,0.85,2.28,3.66,0.38,7.19
2019-03-26,0.02,0.86,2.28,3.66,0.36,7.18
2019-03-27,0.02,0.86,2.32,3.72,0.35,7.26
2019-03-28,0.02,0.86,2.34,3.76,0.33,7.3
2019-03-29,0.02,0.86,2.36,3.8,0.33,7.37
2019-03-30,0.02,0.85,2.39,3.84,0.34,7.45
2019-03-31,0.02,0.81,2.17,3.49,0.35,6.84
2019-04-01,0.02,0.85,1.97,3.57,0.36,6.77
2019-04-02,0.02,0.85,2.06,3.73,0.35,7.0
2019-04-03,0.02,0.85,2.09,3.78,0.34,7.08
2019-04-04,0.02,0.85,2.12,3.84,0.34,7.16
2019-04-05,0.02,0.85,2.07,3.75,0.33,7.02
2019-04-06,0.02,0.82,2.02,3.67,0.33,6.87
2019-04-07,0.02,0.77,1.87,3.39,0.34,6.38
2019-04-08,0.02,0.85,2.04,3.69,0.34,6.94
2019-04-09,0.02,0.85,2.01,3.65,0.33,6.87
2019-04-10,0.02,0.85,2.04,3.7,0.33,6.94
2019-04-11,0.01,0.84,2.01,3.64,0.32,6.83
2019-04-12,0.02,0.85,2.07,3.76,0.33,7.03
2019-04-13,0.02,0.81,2.05,3.73,0.34,6.95
2019-04-14,0.02,0.78,1.99,3.61,0.33,6.72
2019-04-15,0.02,0.85,2.02,3.67,0.32,6.87
2019-04-16,0.02,0.85,1.9,3.45,0.33,6.55
2019-04-17,0.02,0.83,1.79,3.25,0.36,6.25
2019-04-18,0.02,0.84,1.84,3.34,0.35,6.38
