date,Domestic Aviation,Ground Transport,Industry,Power,Residential,意大利
2019-01-01,0.0,0.2,0.07,0.16,0.39,0.82
2019-01-02,0.0,0.18,0.1,0.23,0.39,0.91
2019-01-03,0.0,0.24,0.11,0.25,0.45,1.06
2019-01-04,0.0,0.24,0.13,0.29,0.5,1.17
2019-01-05,0.0,0.2,0.11,0.25,0.46,1.04
2019-01-06,0.01,0.15,0.1,0.22,0.4,0.88
2019-01-07,0.01,0.2,0.16,0.35,0.42,1.13
2019-01-08,0.0,0.26,0.17,0.38,0.42,1.24
2019-01-09,0.0,0.26,0.16,0.36,0.4,1.2
2019-01-10,0.0,0.26,0.16,0.37,0.43,1.23
2019-01-11,0.0,0.26,0.18,0.39,0.46,1.3
2019-01-12,0.0,0.22,0.13,0.28,0.45,1.08
2019-01-13,0.0,0.17,0.11,0.24,0.4,0.92
2019-01-14,0.0,0.26,0.15,0.33,0.34,1.07
2019-01-15,0.0,0.26,0.16,0.35,0.38,1.16
2019-01-16,0.0,0.27,0.17,0.38,0.38,1.21
2019-01-17,0.0,0.26,0.17,0.39,0.35,1.18
2019-01-18,0.01,0.27,0.17,0.38,0.35,1.17
2019-01-19,0.0,0.23,0.14,0.32,0.4,1.1
2019-01-20,0.0,0.18,0.13,0.28,0.42,1.02
2019-01-21,0.0,0.26,0.18,0.4,0.42,1.26
2019-01-22,0.0,0.27,0.18,0.4,0.43,1.29
2019-01-23,0.0,0.27,0.18,0.4,0.45,1.31
2019-01-24,0.0,0.27,0.19,0.42,0.43,1.31
2019-01-25,0.01,0.27,0.16,0.36,0.45,1.24
2019-01-26,0.0,0.23,0.12,0.26,0.44,1.05
2019-01-27,0.0,0.18,0.11,0.24,0.41,0.94
2019-01-28,0.0,0.26,0.14,0.31,0.38,1.1
2019-01-29,0.0,0.27,0.17,0.37,0.42,1.23
2019-01-30,0.0,0.26,0.17,0.38,0.44,1.25
2019-01-31,0.0,0.27,0.15,0.33,0.42,1.17
2019-02-01,0.01,0.27,0.2,0.32,0.35,1.14
2019-02-02,0.0,0.23,0.14,0.22,0.33,0.92
2019-02-03,0.0,0.17,0.11,0.18,0.36,0.83
2019-02-04,0.0,0.26,0.19,0.31,0.37,1.15
2019-02-05,0.0,0.26,0.19,0.3,0.38,1.14
2019-02-06,0.0,0.26,0.17,0.28,0.38,1.1
2019-02-07,0.0,0.26,0.2,0.32,0.38,1.17
2019-02-08,0.01,0.27,0.2,0.33,0.37,1.17
2019-02-09,0.0,0.23,0.15,0.24,0.37,0.99
2019-02-10,0.0,0.17,0.11,0.18,0.33,0.79
2019-02-11,0.01,0.26,0.16,0.26,0.33,1.01
2019-02-12,0.0,0.27,0.16,0.26,0.37,1.06
2019-02-13,0.0,0.26,0.17,0.27,0.39,1.09
2019-02-14,0.0,0.27,0.17,0.28,0.36,1.08
2019-02-15,0.01,0.27,0.18,0.28,0.34,1.07
2019-02-16,0.0,0.22,0.14,0.22,0.35,0.93
2019-02-17,0.0,0.18,0.11,0.19,0.34,0.83
2019-02-18,0.01,0.26,0.18,0.3,0.34,1.09
2019-02-19,0.0,0.26,0.21,0.33,0.35,1.16
2019-02-20,0.0,0.27,0.21,0.34,0.35,1.18
2019-02-21,0.0,0.26,0.21,0.33,0.34,1.15
2019-02-22,0.01,0.27,0.18,0.29,0.3,1.03
2019-02-23,0.0,0.22,0.11,0.17,0.39,0.89
2019-02-24,0.0,0.17,0.1,0.16,0.4,0.83
2019-02-25,0.0,0.26,0.16,0.26,0.35,1.04
2019-02-26,0.0,0.26,0.17,0.27,0.3,1.01
2019-02-27,0.0,0.26,0.16,0.25,0.26,0.94
2019-02-28,0.0,0.27,0.18,0.29,0.28,1.02
2019-03-01,0.01,0.27,0.16,0.26,0.28,0.97
2019-03-02,0.0,0.23,0.12,0.2,0.28,0.82
2019-03-03,0.0,0.18,0.12,0.2,0.28,0.79
2019-03-04,0.0,0.26,0.15,0.25,0.29,0.95
2019-03-05,0.0,0.26,0.16,0.27,0.27,0.97
2019-03-06,0.0,0.26,0.18,0.3,0.28,1.03
2019-03-07,0.0,0.27,0.17,0.28,0.23,0.95
2019-03-08,0.0,0.27,0.18,0.29,0.24,0.98
2019-03-09,0.0,0.23,0.12,0.2,0.25,0.8
2019-03-10,0.0,0.18,0.1,0.17,0.24,0.7
2019-03-11,0.0,0.26,0.14,0.23,0.26,0.9
2019-03-12,0.0,0.27,0.15,0.24,0.33,0.99
2019-03-13,0.0,0.27,0.18,0.3,0.33,1.08
2019-03-14,0.0,0.27,0.17,0.28,0.31,1.04
2019-03-15,0.01,0.27,0.17,0.28,0.26,0.97
2019-03-16,0.0,0.23,0.12,0.2,0.23,0.78
2019-03-17,0.0,0.19,0.13,0.21,0.25,0.79
2019-03-18,0.0,0.26,0.16,0.26,0.27,0.96
2019-03-19,0.0,0.27,0.2,0.32,0.31,1.1
2019-03-20,0.0,0.26,0.18,0.3,0.31,1.05
2019-03-21,0.0,0.27,0.16,0.26,0.28,0.97
2019-03-22,0.01,0.27,0.16,0.26,0.24,0.93
2019-03-23,0.0,0.24,0.11,0.19,0.21,0.75
2019-03-24,0.0,0.2,0.11,0.19,0.19,0.7
2019-03-25,0.0,0.27,0.14,0.24,0.21,0.86
2019-03-26,0.0,0.27,0.16,0.26,0.28,0.96
2019-03-27,0.0,0.27,0.17,0.28,0.29,1.01
2019-03-28,0.0,0.27,0.14,0.24,0.28,0.93
2019-03-29,0.01,0.27,0.14,0.23,0.26,0.91
2019-03-30,0.0,0.24,0.11,0.18,0.24,0.78
2019-03-31,0.0,0.2,0.11,0.19,0.23,0.73
2019-04-01,0.01,0.27,0.18,0.28,0.2,0.94
2019-04-02,0.0,0.27,0.2,0.31,0.2,1.0
2019-04-03,0.0,0.27,0.2,0.31,0.24,1.02
2019-04-04,0.01,0.27,0.19,0.29,0.26,1.02
2019-04-05,0.01,0.27,0.18,0.28,0.28,1.01
2019-04-06,0.0,0.24,0.15,0.22,0.25,0.87
2019-04-07,0.0,0.2,0.13,0.2,0.27,0.79
2019-04-08,0.01,0.27,0.17,0.27,0.26,0.97
2019-04-09,0.01,0.27,0.18,0.28,0.23,0.97
2019-04-10,0.01,0.27,0.17,0.26,0.24,0.95
2019-04-11,0.0,0.27,0.2,0.3,0.26,1.03
2019-04-12,0.01,0.27,0.19,0.29,0.25,1.01
2019-04-13,0.0,0.25,0.15,0.23,0.27,0.89
2019-04-14,0.0,0.2,0.13,0.2,0.29,0.83
2019-04-15,0.01,0.22,0.15,0.24,0.25,0.86
2019-04-16,0.01,0.27,0.18,0.27,0.23,0.96
2019-04-17,0.01,0.27,0.18,0.27,0.21,0.93
2019-04-18,0.01,0.27,0.16,0.24,0.19,0.86
