date,Domestic Aviation,Ground Transport,Industry,Power,Residential,日本
2019-01-01,0.03,0.49,0.51,1.3,0.6,2.92
2019-01-02,0.03,0.47,0.5,1.27,0.63,2.91
2019-01-03,0.03,0.49,0.52,1.33,0.64,3.01
2019-01-04,0.03,0.5,0.58,1.47,0.57,3.14
2019-01-05,0.02,0.48,0.59,1.48,0.55,3.13
2019-01-06,0.03,0.46,0.61,1.54,0.64,3.27
2019-01-07,0.02,0.49,0.7,1.76,0.61,3.59
2019-01-08,0.02,0.49,0.73,1.85,0.58,3.67
2019-01-09,0.02,0.49,0.74,1.88,0.67,3.82
2019-01-10,0.03,0.5,0.78,1.97,0.61,3.89
2019-01-11,0.02,0.5,0.75,1.89,0.58,3.74
2019-01-12,0.02,0.48,0.7,1.79,0.6,3.6
2019-01-13,0.02,0.46,0.62,1.56,0.6,3.25
2019-01-14,0.02,0.48,0.65,1.65,0.61,3.4
2019-01-15,0.02,0.49,0.76,1.91,0.56,3.75
2019-01-16,0.02,0.49,0.74,1.86,0.62,3.73
2019-01-17,0.02,0.5,0.73,1.85,0.59,3.7
2019-01-18,0.02,0.5,0.73,1.85,0.62,3.72
2019-01-19,0.02,0.48,0.66,1.66,0.56,3.38
2019-01-20,0.02,0.46,0.62,1.58,0.56,3.24
2019-01-21,0.02,0.49,0.71,1.79,0.62,3.63
2019-01-22,0.02,0.49,0.73,1.85,0.62,3.72
2019-01-23,0.02,0.49,0.72,1.84,0.55,3.63
2019-01-24,0.02,0.5,0.73,1.86,0.63,3.74
2019-01-25,0.02,0.5,0.75,1.89,0.61,3.77
2019-01-26,0.02,0.48,0.71,1.8,0.69,3.7
2019-01-27,0.02,0.46,0.66,1.66,0.65,3.44
2019-01-28,0.02,0.49,0.76,1.92,0.58,3.77
2019-01-29,0.02,0.49,0.74,1.88,0.64,3.79
2019-01-30,0.02,0.49,0.74,1.87,0.57,3.7
2019-01-31,0.02,0.5,0.77,1.96,0.62,3.88
2019-02-01,0.02,0.5,0.89,1.88,0.69,3.99
2019-02-02,0.02,0.48,0.77,1.64,0.59,3.51
2019-02-03,0.02,0.46,0.71,1.52,0.45,3.17
2019-02-04,0.02,0.49,0.74,1.58,0.51,3.35
2019-02-05,0.02,0.49,0.81,1.72,0.55,3.59
2019-02-06,0.02,0.49,0.88,1.86,0.56,3.81
2019-02-07,0.02,0.5,0.82,1.73,0.49,3.56
2019-02-08,0.02,0.5,0.86,1.83,0.68,3.89
2019-02-09,0.02,0.48,0.87,1.85,0.71,3.94
2019-02-10,0.02,0.46,0.75,1.6,0.68,3.52
2019-02-11,0.02,0.49,0.85,1.81,0.66,3.84
2019-02-12,0.02,0.47,0.86,1.83,0.63,3.82
2019-02-13,0.02,0.49,0.87,1.84,0.63,3.86
2019-02-14,0.02,0.5,0.9,1.91,0.68,4.01
2019-02-15,0.02,0.5,0.93,1.97,0.62,4.04
2019-02-16,0.02,0.48,0.78,1.66,0.59,3.54
2019-02-17,0.02,0.46,0.7,1.5,0.62,3.31
2019-02-18,0.02,0.49,0.79,1.67,0.52,3.49
2019-02-19,0.02,0.49,0.86,1.82,0.45,3.64
2019-02-20,0.02,0.49,0.75,1.59,0.44,3.29
2019-02-21,0.02,0.5,0.75,1.6,0.53,3.4
2019-02-22,0.02,0.5,0.76,1.61,0.49,3.38
2019-02-23,0.03,0.48,0.66,1.41,0.55,3.14
