date,Domestic Aviation,Ground Transport,Industry,Power,Residential,其它
2019-01-01,0.17,4.51,5.79,9.17,4.96,24.61
2019-01-02,0.19,4.86,6.13,9.71,5.11,26.0
2019-01-03,0.19,5.76,6.4,10.14,5.09,27.59
2019-01-04,0.19,5.49,6.76,10.71,5.01,28.15
2019-01-05,0.17,5.07,6.58,10.43,4.78,27.02
2019-01-06,0.18,4.24,6.53,10.34,4.76,26.05
2019-01-07,0.19,5.75,7.34,11.63,4.79,29.7
2019-01-08,0.18,6.12,7.49,11.86,4.75,30.4
2019-01-09,0.18,6.19,7.79,12.34,5.04,31.54
2019-01-10,0.19,6.35,8.23,13.04,5.19,33.01
2019-01-11,0.15,5.85,8.04,12.74,5.03,31.81
2019-01-12,0.16,5.39,7.45,11.81,4.8,29.61
2019-01-13,0.17,4.75,6.81,10.8,4.62,27.15
2019-01-14,0.18,6.19,7.37,11.68,4.82,30.24
2019-01-15,0.18,6.54,8.08,12.8,5.17,32.78
2019-01-16,0.16,6.67,7.96,12.61,5.04,32.44
2019-01-17,0.18,6.51,7.92,12.54,4.86,32.02
2019-01-18,0.18,6.04,7.79,12.34,4.8,31.15
2019-01-19,0.16,5.63,7.18,11.37,4.74,29.09
2019-01-20,0.17,5.34,7.07,11.2,4.89,28.66
2019-01-21,0.18,6.11,7.9,12.52,5.14,31.86
2019-01-22,0.18,6.67,8.01,12.69,5.06,32.62
2019-01-23,0.18,6.76,7.95,12.59,4.9,32.38
2019-01-24,0.18,6.8,7.98,12.64,4.83,32.43
2019-01-25,0.19,6.11,8.13,12.88,5.11,32.42
2019-01-26,0.16,5.72,7.61,12.06,5.11,30.67
2019-01-27,0.17,5.47,7.02,11.13,4.93,28.72
2019-01-28,0.15,6.51,7.91,12.53,5.0,32.11
2019-01-29,0.18,6.77,8.12,12.86,5.14,33.07
2019-01-30,0.18,6.79,8.25,13.08,5.25,33.56
2019-01-31,0.19,6.81,8.47,13.42,5.28,34.16
2019-02-01,0.19,6.26,9.14,12.72,5.02,33.33
2019-02-02,0.17,5.79,7.98,11.1,4.62,29.65
2019-02-03,0.17,5.5,7.37,10.26,4.52,27.82
2019-02-04,0.18,6.51,7.89,10.98,4.47,30.03
2019-02-05,0.19,6.63,8.48,11.81,4.38,31.49
2019-02-06,0.18,6.69,8.9,12.39,4.29,32.45
2019-02-07,0.19,6.76,8.42,11.71,4.56,31.63
2019-02-08,0.19,6.14,8.77,12.21,4.9,32.22
2019-02-09,0.16,5.69,8.64,12.02,5.15,31.67
2019-02-10,0.17,5.5,7.83,10.9,5.04,29.44
2019-02-11,0.19,6.63,8.64,12.02,4.76,32.24
