date,Domestic Aviation,Ground Transport,Industry,Power,Residential,俄罗斯
2019-01-01,0.02,0.56,0.58,2.4,0.9,4.46
2019-01-02,0.03,0.49,0.59,2.45,0.85,4.41
2019-01-03,0.04,0.51,0.59,2.48,0.84,4.47
2019-01-04,0.04,0.51,0.6,2.51,0.88,4.55
2019-01-05,0.04,0.57,0.61,2.53,0.89,4.64
2019-01-06,0.04,0.48,0.6,2.53,0.92,4.56
2019-01-07,0.04,0.48,0.6,2.52,0.97,4.61
2019-01-08,0.04,0.51,0.61,2.56,0.96,4.69
2019-01-09,0.04,0.54,0.64,2.66,0.95,4.83
2019-01-10,0.04,0.54,0.64,2.68,0.96,4.86
2019-01-11,0.04,0.48,0.64,2.69,0.95,4.8
2019-01-12,0.04,0.59,0.63,2.62,0.91,4.78
2019-01-13,0.04,0.5,0.62,2.57,0.86,4.58
2019-01-14,0.04,0.66,0.63,2.65,0.82,4.81
2019-01-15,0.03,0.67,0.63,2.64,0.8,4.79
2019-01-16,0.03,0.67,0.63,2.65,0.83,4.82
2019-01-17,0.03,0.68,0.64,2.66,0.84,4.85
2019-01-18,0.04,0.68,0.63,2.65,0.8,4.79
2019-01-19,0.03,0.61,0.61,2.56,0.82,4.64
2019-01-20,0.03,0.53,0.61,2.55,0.85,4.58
2019-01-21,0.04,0.67,0.64,2.66,0.89,4.89
2019-01-22,0.03,0.68,0.64,2.68,1.0,5.03
2019-01-23,0.03,0.67,0.65,2.73,1.06,5.14
2019-01-24,0.03,0.68,0.65,2.73,1.03,5.12
2019-01-25,0.04,0.68,0.65,2.73,1.04,5.14
2019-01-26,0.03,0.62,0.64,2.66,1.02,4.97
2019-01-27,0.03,0.55,0.63,2.62,0.98,4.81
2019-01-28,0.03,0.67,0.65,2.71,0.96,5.03
2019-01-29,0.03,0.68,0.65,2.7,0.9,4.96
2019-01-30,0.03,0.67,0.64,2.68,0.85,4.89
2019-01-31,0.03,0.68,0.64,2.68,0.87,4.9
2019-02-01,0.04,0.68,0.74,2.68,0.94,5.08
2019-02-02,0.03,0.61,0.73,2.62,0.95,4.94
2019-02-03,0.03,0.53,0.72,2.59,0.94,4.82
2019-02-04,0.04,0.67,0.74,2.69,0.95,5.09
2019-02-05,0.03,0.68,0.75,2.7,0.97,5.13
2019-02-06,0.04,0.67,0.75,2.71,0.96,5.13
2019-02-07,0.04,0.67,0.75,2.71,0.94,5.11
2019-02-08,0.04,0.68,0.74,2.69,0.91,5.06
2019-02-09,0.03,0.6,0.72,2.61,0.89,4.86
2019-02-10,0.04,0.51,0.71,2.57,0.88,4.7
2019-02-11,0.04,0.67,0.73,2.66,0.87,4.96
2019-02-12,0.03,0.68,0.73,2.65,0.83,4.92
2019-02-13,0.04,0.67,0.73,2.64,0.82,4.9
2019-02-14,0.04,0.67,0.73,2.62,0.81,4.87
2019-02-15,0.04,0.68,0.72,2.61,0.77,4.82
2019-02-16,0.04,0.6,0.7,2.52,0.72,4.57
2019-02-17,0.04,0.51,0.69,2.48,0.7,4.42
2019-02-18,0.04,0.67,0.71,2.57,0.76,4.74
2019-02-19,0.03,0.67,0.71,2.57,0.81,4.81
2019-02-20,0.03,0.67,0.71,2.58,0.75,4.75
2019-02-21,0.03,0.68,0.71,2.58,0.75,4.76
2019-02-22,0.04,0.68,0.71,2.58,0.82,4.84
2019-02-23,0.04,0.59,0.69,2.5,0.85,4.67
2019-02-24,0.04,0.5,0.69,2.48,0.81,4.51
2019-02-25,0.04,0.55,0.71,2.57,0.76,4.62
2019-02-26,0.03,0.67,0.71,2.56,0.74,4.71
2019-02-27,0.04,0.67,0.71,2.56,0.76,4.73
2019-02-28,0.03,0.67,0.7,2.55,0.73,4.69
2019-03-01,0.04,0.68,0.76,2.54,0.72,4.73
2019-03-02,0.04,0.61,0.74,2.48,0.78,4.64
2019-03-03,0.04,0.53,0.74,2.46,0.79,4.56
2019-03-04,0.04,0.67,0.76,2.53,0.75,4.75
2019-03-05,0.04,0.68,0.75,2.51,0.67,4.65
2019-03-06,0.04,0.67,0.75,2.52,0.69,4.67
2019-03-07,0.04,0.68,0.75,2.51,0.74,4.71
2019-03-08,0.04,0.65,0.72,2.4,0.68,4.49
2019-03-09,0.03,0.58,0.71,2.39,0.62,4.33
2019-03-10,0.04,0.51,0.71,2.38,0.61,4.25
2019-03-11,0.04,0.54,0.74,2.47,0.61,4.4
