date,Domestic Aviation,Ground Transport,Industry,Power,Residential,美国
2019-01-01,0.38,3.42,2.76,3.97,2.64,13.17
2019-01-02,0.47,4.31,2.99,4.62,3.17,15.56
2019-01-03,0.5,4.45,2.94,4.45,2.98,15.32
2019-01-04,0.48,4.62,2.92,4.36,2.82,15.21
2019-01-05,0.44,4.42,2.81,4.03,2.61,14.31
2019-01-06,0.42,3.96,2.56,3.45,2.51,12.9
2019-01-07,0.44,4.25,2.71,3.89,2.57,13.86
2019-01-08,0.47,4.26,2.72,3.79,2.32,13.56
2019-01-09,0.45,4.29,2.84,4.33,2.76,14.68
2019-01-10,0.52,4.41,2.97,4.83,3.34,16.06
2019-01-11,0.4,4.58,2.94,4.96,3.41,16.28
2019-01-12,0.4,4.37,2.83,4.58,3.31,15.49
2019-01-13,0.36,3.91,2.92,4.84,3.38,15.41
2019-01-14,0.43,4.27,3.12,5.39,3.53,16.73
2019-01-15,0.45,4.25,3.05,5.35,3.45,16.55
2019-01-16,0.41,4.32,2.97,5.28,3.18,16.16
2019-01-17,0.47,4.45,2.97,5.2,3.09,16.19
2019-01-18,0.49,4.6,2.78,4.56,2.95,15.38
2019-01-19,0.4,4.4,2.82,4.41,3.05,15.08
2019-01-20,0.32,3.97,3.01,4.98,3.57,15.86
2019-01-21,0.4,4.25,3.03,5.5,4.38,17.56
2019-01-22,0.46,4.28,2.94,5.37,3.81,16.86
2019-01-23,0.44,4.37,3.01,5.07,3.08,15.99
2019-01-24,0.47,4.53,2.99,4.86,2.93,15.79
2019-01-25,0.49,4.68,3.14,5.29,3.68,17.27
2019-01-26,0.41,4.46,3.02,5.05,3.75,16.69
2019-01-27,0.38,3.96,2.87,4.68,3.42,15.31
2019-01-28,0.4,4.21,2.86,4.74,3.32,15.53
2019-01-29,0.44,4.2,3.17,5.48,3.7,16.99
2019-01-30,0.43,4.16,3.32,6.02,4.37,18.3
2019-01-31,0.46,4.26,3.39,6.08,4.67,18.85
2019-02-01,0.49,4.39,2.86,5.27,3.95,16.97
2019-02-02,0.43,4.21,2.61,4.07,3.28,14.59
2019-02-03,0.37,3.78,2.43,3.54,2.44,12.56
2019-02-04,0.43,4.28,2.59,3.98,2.26,13.55
2019-02-05,0.48,4.21,2.73,4.39,2.49,14.3
2019-02-06,0.46,4.39,2.72,4.43,2.6,14.6
2019-02-07,0.48,4.55,2.77,4.37,2.65,14.81
2019-02-08,0.5,4.67,2.96,4.73,3.37,16.22
2019-02-09,0.42,4.44,2.95,4.71,3.89,16.42
2019-02-10,0.38,4.03,2.91,4.71,3.64,15.67
2019-02-11,0.44,4.42,2.85,4.7,3.2,15.6
2019-02-12,0.44,4.35,2.83,4.44,3.01,15.07
2019-02-13,0.47,4.49,2.78,4.27,3.13,15.13
2019-02-14,0.51,4.66,2.77,4.12,2.73,14.8
2019-02-15,0.53,4.79,2.81,4.11,2.65,14.89
2019-02-16,0.45,4.55,2.84,4.3,3.12,15.26
2019-02-17,0.38,3.94,2.79,4.23,3.34,14.68
2019-02-18,0.45,4.24,2.97,4.8,3.39,15.85
2019-02-19,0.5,4.25,3.15,5.24,3.74,16.88
2019-02-20,0.46,4.39,2.99,4.86,3.43,16.14
2019-02-21,0.5,4.55,2.9,4.53,2.99,15.47
2019-02-22,0.51,4.68,2.96,4.64,2.93,15.71
2019-02-23,0.44,4.46,2.73,3.93,2.81,14.37
2019-02-24,0.41,3.95,2.75,3.87,2.67,13.64
2019-02-25,0.45,4.46,2.92,4.41,3.19,15.43
2019-02-26,0.49,4.35,2.95,4.64,3.22,15.66
2019-02-27,0.5,4.28,2.94,4.6,3.11,15.45
2019-02-28,0.52,4.4,2.96,4.6,3.24,15.72
2019-03-01,0.48,4.28,3.03,4.72,3.05,15.55
2019-03-02,0.42,4.08,2.84,4.44,2.86,14.63
2019-03-03,0.39,3.59,2.83,4.4,3.08,14.29
2019-03-04,0.43,4.02,3.18,5.35,3.74,16.72
2019-03-05,0.47,3.91,3.21,5.5,3.91,16.99
2019-03-06,0.47,3.98,3.07,5.26,3.73,16.51
2019-03-07,0.49,4.12,2.92,4.92,3.34,15.79
2019-03-08,0.5,4.56,2.85,4.61,2.93,15.45
2019-03-09,0.44,4.33,2.59,3.75,2.59,13.71
2019-03-10,0.44,3.83,2.57,3.48,2.34,12.67
2019-03-11,0.47,4.45,2.81,4.22,2.34,14.28
2019-03-12,0.48,4.2,2.67,3.94,2.39,13.68
2019-03-13,0.47,4.18,2.62,3.75,2.18,13.21
2019-03-14,0.48,4.3,2.59,3.57,1.73,12.67
2019-03-15,0.51,4.75,2.64,3.65,1.85,13.4
2019-03-16,0.45,4.51,2.73,3.76,2.31,13.77
2019-03-17,0.44,4.08,2.73,3.82,2.53,13.6
2019-03-18,0.46,4.58,2.84,4.24,2.48,14.61
2019-03-19,0.48,4.52,2.76,4.05,2.39,14.2
2019-03-20,0.49,4.44,2.78,4.06,2.25,14.02
2019-03-21,0.5,4.54,2.8,4.07,2.13,14.04
2019-03-22,0.5,4.98,2.65,3.72,2.15,14.0
2019-03-23,0.45,4.72,2.55,3.41,2.23,13.37
2019-03-24,0.43,4.32,2.58,3.42,1.95,12.7
2019-03-25,0.45,4.98,2.77,3.88,1.88,13.96
2019-03-26,0.48,4.93,2.73,3.86,2.25,14.24
2019-03-27,0.49,4.67,2.57,3.55,2.14,13.41
2019-03-28,0.51,4.74,2.59,3.46,1.77,13.06
2019-03-29,0.5,4.85,2.59,3.51,1.61,13.06
2019-03-30,0.45,4.6,2.46,3.11,1.63,12.24
2019-03-31,0.44,4.28,2.61,3.48,2.15,12.95
2019-04-01,0.47,4.66,2.94,3.94,2.46,14.47
2019-04-02,0.5,4.61,2.83,3.88,2.15,13.97
2019-04-03,0.49,4.51,2.74,3.61,1.77,13.12
2019-04-04,0.5,4.61,2.87,3.72,1.61,13.31
2019-04-05,0.51,4.73,2.79,3.69,1.72,13.45
2019-04-06,0.44,4.49,2.66,3.29,1.42,12.3
2019-04-07,0.42,4.11,2.61,3.12,1.12,11.39
2019-04-08,0.47,4.64,2.82,3.72,0.92,12.58
2019-04-09,0.5,4.62,2.7,3.55,1.1,12.47
2019-04-10,0.53,4.45,2.55,3.31,1.49,12.34
2019-04-11,0.35,4.54,2.62,3.41,1.64,12.56
2019-04-12,0.51,4.64,2.63,3.5,1.49,12.77
2019-04-13,0.44,4.38,2.52,3.24,1.37,11.94
2019-04-14,0.4,4.1,2.54,3.22,1.51,11.78
2019-04-15,0.47,4.54,2.58,3.32,1.58,12.49
2019-04-16,0.5,4.53,2.63,3.38,1.42,12.46
2019-04-17,0.5,4.45,2.64,3.27,1.16,12.02
2019-04-18,0.51,4.55,2.61,3.28,1.08,12.03
2019-04-19,0.48,4.68,2.64,3.23,1.17,12.21
