date,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,全球
2019-01-01,0.84,14.16,22.78,1.48,36.38,17.8,95.0
2019-01-02,0.97,15.69,24.67,1.62,39.65,18.52,102.98
2019-01-03,1.01,17.35,25.22,1.67,40.63,18.38,106.13
2019-01-04,1.0,17.39,25.45,1.69,41.07,18.08,106.61
2019-01-05,0.92,16.18,25.03,1.74,40.14,17.16,102.98
2019-01-06,0.92,13.99,24.29,1.77,38.86,17.06,98.82
2019-01-07,0.96,17.08,25.97,1.65,41.87,17.22,106.71
2019-01-08,0.97,17.79,25.85,1.56,41.59,16.99,106.63
2019-01-09,0.95,17.93,26.64,1.56,43.26,18.17,110.41
2019-01-10,1.04,18.22,27.49,1.69,45.04,18.89,114.49
2019-01-11,0.82,17.88,27.28,1.52,44.83,18.35,112.59
2019-01-12,0.87,16.58,25.81,1.67,42.08,17.55,106.39
2019-01-13,0.84,14.83,24.38,1.68,39.79,16.94,100.42
2019-01-14,0.94,18.0,25.61,1.59,42.11,17.68,107.84
2019-01-15,0.95,18.41,26.48,1.51,43.72,18.87,111.82
2019-01-16,0.83,18.62,26.61,1.32,43.92,18.31,111.52
2019-01-17,0.98,18.59,26.53,1.56,43.72,17.67,110.94
2019-01-18,1.01,18.38,26.42,1.63,43.29,17.39,110.1
2019-01-19,0.87,17.14,25.07,1.66,40.98,17.27,104.86
2019-01-20,0.81,15.44,24.48,1.65,40.3,17.95,102.53
2019-01-21,0.92,17.98,25.83,1.6,43.09,19.15,110.45
2019-01-22,0.97,18.63,25.93,1.52,43.27,18.68,110.87
2019-01-23,0.95,18.8,25.94,1.54,42.81,17.79,109.87
2019-01-24,0.99,19.01,25.84,1.57,42.55,17.45,109.29
2019-01-25,1.01,18.52,25.82,1.64,42.77,18.74,110.39
2019-01-26,0.89,17.21,24.46,1.65,40.33,18.79,105.28
2019-01-27,0.87,15.77,22.75,1.71,37.38,18.01,98.37
2019-01-28,0.82,18.33,24.48,1.43,40.47,18.21,105.63
2019-01-29,0.95,18.64,24.78,1.51,41.25,18.83,108.1
2019-01-30,0.95,18.59,25.07,1.52,42.0,19.51,109.69
2019-01-31,0.98,18.73,25.2,1.58,42.17,19.8,110.57
2019-02-01,1.02,18.38,25.3,1.65,39.55,18.55,106.41
2019-02-02,0.91,17.07,23.31,1.67,35.77,16.86,97.45
2019-02-03,0.87,15.63,22.01,1.66,33.56,16.15,91.72
2019-02-04,0.92,18.44,23.01,1.59,35.31,15.89,97.03
2019-02-05,0.97,18.54,23.8,1.5,36.68,15.67,98.97
2019-02-06,0.97,18.77,24.26,1.51,37.43,15.39,100.24
2019-02-07,1.0,19.01,23.61,1.54,36.33,16.36,99.8
2019-02-08,1.02,18.55,24.4,1.61,37.56,17.84,102.98
2019-02-09,0.9,17.21,24.29,1.64,37.32,18.93,102.08
2019-02-10,0.88,15.85,23.51,1.65,36.16,18.43,98.33
2019-02-11,0.97,18.7,25.15,1.57,38.72,17.28,104.29
2019-02-12,0.95,18.82,26.04,1.49,39.81,16.54,105.49
2019-02-13,0.98,18.89,26.1,1.49,39.75,16.28,105.26
2019-02-14,1.02,19.24,26.46,1.58,40.13,15.8,106.25
2019-02-15,1.05,18.88,26.71,1.65,40.41,15.47,106.11
2019-02-16,0.93,17.28,24.9,1.69,37.8,16.08,100.58
2019-02-17,0.87,15.59,24.26,1.69,36.8,16.25,97.36
2019-02-18,0.97,18.01,26.63,1.61,40.67,15.98,105.79
2019-02-19,1.0,18.46,27.52,1.54,42.16,16.15,108.73
2019-02-20,0.97,18.83,26.57,1.53,40.61,15.48,105.85
2019-02-21,1.02,18.96,26.65,1.59,40.55,14.74,105.5
2019-02-22,1.03,18.54,26.64,1.66,40.58,14.83,105.09
2019-02-23,0.92,17.07,24.4,1.69,36.93,15.45,98.32
2019-02-24,0.9,15.39,23.73,1.72,35.81,14.89,94.34
2019-02-25,0.97,18.4,25.76,1.62,39.12,14.75,102.59
2019-02-26,1.0,18.65,26.25,1.55,39.98,14.78,104.16
2019-02-27,1.01,18.68,26.42,1.55,40.24,15.02,104.85
2019-02-28,1.04,18.5,26.27,1.6,39.99,15.02,104.46
2019-03-01,1.0,18.19,29.94,1.64,39.78,14.13,106.61
2019-03-02,0.9,16.88,28.14,1.68,37.34,13.99,100.82
2019-03-03,0.87,15.18,27.37,1.69,36.33,13.51,96.85
2019-03-04,0.93,17.96,28.97,1.59,39.1,13.99,104.47
2019-03-05,0.96,18.09,28.92,1.54,39.1,14.36,104.95
2019-03-06,0.98,18.3,28.9,1.55,39.11,14.09,104.91
2019-03-07,1.0,18.5,28.58,1.58,38.57,13.94,104.17
2019-03-08,1.01,18.44,28.34,1.65,37.92,13.38,102.67
2019-03-09,0.9,17.06,26.58,1.68,35.01,12.43,95.54
2019-03-10,0.93,15.48,25.64,1.71,33.64,11.91,91.14
2019-03-11,0.98,18.33,27.1,1.62,36.12,12.27,98.38
2019-03-12,0.98,18.59,26.88,1.55,35.74,12.53,98.18
2019-03-13,0.98,18.55,27.13,1.55,35.87,12.31,98.27
2019-03-14,0.99,18.81,27.51,1.59,36.23,11.66,98.76
2019-03-15,1.02,18.77,27.27,1.66,35.94,11.13,97.72
2019-03-16,0.92,17.24,26.16,1.7,34.48,11.41,93.73
2019-03-17,0.91,15.88,25.45,1.69,33.61,11.64,91.08
2019-03-18,0.97,18.72,27.45,1.61,36.51,11.66,98.89
2019-03-19,0.98,18.87,27.76,1.54,36.94,11.19,99.19
2019-03-20,0.99,18.59,27.32,1.56,36.28,10.95,97.69
2019-03-21,1.01,18.26,26.8,1.61,35.5,11.28,96.35
2019-03-22,1.01,18.88,27.09,1.66,35.66,11.58,97.71
2019-03-23,0.91,17.41,26.28,1.69,34.46,11.99,94.54
2019-03-24,0.91,15.92,25.24,1.7,33.11,11.25,89.97
2019-03-25,0.96,19.14,27.12,1.66,35.8,10.8,97.43
2019-03-26,0.88,19.29,27.12,1.49,35.83,11.08,97.71
2019-03-27,1.0,19.13,26.89,1.57,35.47,10.68,96.7
2019-03-28,1.02,19.29,27.35,1.63,35.93,10.61,97.89
2019-03-29,1.02,18.96,27.11,1.67,35.7,10.08,96.52
2019-03-30,0.91,17.68,25.72,1.69,33.68,10.08,91.67
2019-03-31,0.92,16.27,24.68,1.73,32.4,11.02,89.1
2019-04-01,0.99,18.81,29.61,1.68,35.88,11.41,100.46
2019-04-02,1.01,19.01,30.49,1.64,36.95,10.97,102.12
2019-04-03,1.02,18.88,30.51,1.66,36.86,10.47,101.44
2019-04-04,1.03,19.1,29.6,1.69,35.9,9.98,99.24
2019-04-05,1.03,18.79,27.93,1.72,34.16,9.55,95.15
2019-04-06,0.9,17.46,26.64,1.73,32.1,8.94,89.7
2019-04-07,0.91,15.85,26.33,1.76,31.38,8.33,86.4
2019-04-08,0.99,18.75,28.93,1.67,35.04,8.45,95.78
2019-04-09,1.01,19.09,29.52,1.65,35.54,9.33,98.0
2019-04-10,1.06,18.9,30.71,1.92,36.86,10.31,101.78
2019-04-11,0.67,19.0,30.19,1.21,36.25,10.46,99.81
2019-04-12,1.04,18.19,29.88,1.74,36.15,10.05,99.09
2019-04-13,0.92,17.48,27.81,1.8,33.47,9.81,93.25
2019-04-14,0.89,15.68,26.68,1.78,32.17,9.92,89.05
2019-04-15,0.99,18.08,27.76,1.7,33.53,9.23,93.19
2019-04-16,1.02,18.73,27.76,1.66,33.47,8.52,93.24
2019-04-17,1.03,18.37,27.27,1.68,32.84,7.87,91.09
2019-04-18,1.03,18.88,27.25,1.73,32.7,7.48,91.05
2019-04-19,0.98,17.81,27.13,1.73,32.47,7.55,89.67
2019-04-20,0.89,16.86,25.84,1.77,30.6,7.57,85.43
2019-04-21,0.88,15.22,24.89,1.79,29.4,7.28,81.25
